QUOTE,AUTHOR,GENRE
"I loved the house the way you would any new house, because it is populated by your future, the family of children who will fill it with noise or chaos and satisfying busy pleasures.",Jane Smiley,future
Everybody has to be able to participate in a future that they want to live for. That's what technology can do.,Dean Kamen,future
"True revolutionaries are like God - they create the world in their own image. Our awesome responsibility to ourselves, to our children, and to the future is to create ourselves in the image of goodness, because the future depends on the nobility of our imaginings.",Barbara Grizzuti Harrison,future
I'm a big laser believer - I really think they are the wave of the future.,Courteney Cox,future
"We go on dates thinking that person is our future husband or wife, without getting to know them, as we live in a fantasy and an illusion of romance.",Patti Stanger,future
"A ring means a commitment. But more than that, it means that you've talked about your shared future and have decided together on a shared vision of it.",Patti Stanger,future
A nation that does not stand for its children does not stand for anything and will not stand tall in the future.,Marian Wright Edelman,future
"There is a different future that is available to North Korea, if they choose differently.",Mitchell Reiss,future
"With respect to the environment in our state and our state's future - in addition to water which is very important here - I think it is crucial for him to make a sincere commitment to energy efficiency, fuel efficiency, by helping us to produce those cars of the future.",Jennifer Granholm,future
"With Michigan's economic future on the line, we can't afford to have our 500 local school districts marching in different directions. Instead, we need a high standards, mandatory curriculum to get all our students on the road to higher education and a good paying job.",Jennifer Granholm,future
"Well, clearly, for me in the immediate future, it is grappling, like so many other governors are grappling, with the economic woes of these states. We were all hoping to see some federal relief.",Jennifer Granholm,future
"The civil unrest of recent days must come to an end, and the healing process must begin for the future of the community. We will provide assistance both in ending the violence and enabling the healing process in Benton Harbor.",Jennifer Granholm,future
"That's one of the most exciting things about Michigan's future. We need to, we must capitalize on our alternative-energy vehicles that we can produce right here.",Jennifer Granholm,future
I've been doing musical theater since I was a kid. And look for a CD from me in the future. I want to write all the songs!,Zac Efron,future
Every educated person is a future enemy.,Martin Bormann,future
"Cartooning is a wonderful career, and I'd like more women to get to have it. I can't think of any reason why we won't see more syndicated female cartoonists in the future.",Cathy Guisewite,future
The fighter loses more than his pride in the fight he loses part of his future. He's a step closer to the slum he came from.,Floyd Patterson,future
The future has a way of arriving unannounced.,George Will,future
"Yeah, it's odd when you look back at your own work. Some filmmakers don't look back at their work at all. I look at my work a lot, actually. I feel like I learned something while looking at stuff I've done in terms of what I'm going to do in the future, mistakes I've made and things at work or what have you.",Christopher Nolan,future
"I would tell 17-year-olds to be proud of who you are. Don't try to change yourself for others. Focus on school and your future. Boys and friends will come and go, just focus on you and your future.",Lea Michele,future
Planning is bringing the future into the present so that you can do something about it now.,Alan Lakein,future
I said tonight I wanted to talk to you about love. Look into your hearts. This is our country. This is our future. These are our children and grandchildren. You can trust Mitt.,Ann Romney,future
"Let them look to the past, but let them also look to the future let them look to the land of their ancestors, but let them look also to the land of their children.",Wilfrid Laurier,future
Cambodia possesses now the rights to look far into the future and everything for making a future construction is waiting for the Cambodian own efforts.,Hun Sen,future
There are no limits to our future if we don't put limits on our people.,Jack Kemp,future
Hollywood has its own way of telling stories. I was just telling stories that I was familiar with. And it's what I want to do in the future: I want to take my audio cinema and put it on the screen.,Ice T,future
"As an American I wanted to explore... why are we the only first world country that still has capital punishment? Is it because we're too afraid to really examine the system, or is it because we really truly believe that this is the best way to deter future crime?",Jodi Picoult,future
"A speculator is a man who observes the future, and acts before it occurs.",Bernard Baruch,future
"There is no word for feeling nostalgic about the future, but that's what a parent's tears often are, a nostalgia for something that has not yet occurred. They are the pain of hope, the helplessness of hope, and finally, the surrender to hope.",Michael Ian Black,future
"I enjoy every minute, because there are going to be a lot of moments in your future that you're going to wish you held onto longer.",Joe Nichols,future
"A good education is that which prepares us for our future sphere of action and makes us contented with that situation in life in which God, in his infinite mercy, has seen fit to place us, to be perfectly resigned to our lot in life, whatever it may be.",Ann Plato,future
"Advances in technology will continue to reach far into every sector of our economy. Future job and economic growth in industry, defense, transportation, agriculture, health care, and life sciences is directly related to scientific advancement.",Christopher Bond,future
No other investment yields as great a return as the investment in education. An educated workforce is the foundation of every community and the future of every economy.,Brad Henry,future
The best prophet of the future is the past.,George Byron,future
"The American idea is as promising, imaginative, and full of the unexpected as the land itself. The land represents freedom - the frontier, the ability to make a new future with your own bare hands.",Anna Deavere Smith,future
"I would like my architecture to inspire people to use their own resources, to move into the future.",Tadao Ando,future
"I think of the past and the future as well as the present to determine where I am, and I move on while thinking of these things.",Tadao Ando,future
"No, I think the future of humanity will be like the past, we'll do what we've always done and there will still be human beings. Granted, there will always be people doing something different and there are a lot of possibilities.",Octavia Butler,future
"I can count all the ways in which being a mother has enriched my understanding of the world, of character, my sense of the future and my attachment to it. I can't imagine what kind of writer I'd be if I didn't have my kids.",Barbara Kingsolver,future
"By doing something positive in this world, you're helping people and the future. We're all trying to help the world... make it a better place to live. We're actually still changing the world, aren't we?",Rick Danko,future
"I have long considered it one of God's greatest mercies that the future is hidden from us. If it were not, life would surely be unbearable.",Eugene Forsey,future
I think experience will teach you a combination of liberalism and conservatism. We have to be progressive and at the same time we have to retain values. We have to hold onto the past as we explore the future.,Oliver Stone,future
I made education the highest priority of my campaign - actually education and jobs - and the reason is a simple one: I think the future of America depends on it.,Charles Schumer,future
Stephen King in many respects is a wonderful writer. He has made a contribution. People in the future will be able to pick up Stephen King's books and learn a lot about who we were by reading those books.,Anne Rice,future
"Sometimes when I'm going to sleep, I think, 'Oh God, my future husband is out there somewhere and I might know him, or I might not, and I wonder what he's doing and I wonder if he knows me.' I just always think that's so fascinating, that even when you were two years old, your future husband was out there somewhere.",Emma Roberts,future
"There's no artist in this world that doesn't enjoy the dream that if they have bad reviews now, the story of Keats can redeem them, in their fantasy or imagination, in the future. I think Keats' poem 'Endymion' is a really difficult poem, and I'm not surprised that a lot of people pulled it apart in a way.",Jane Campion,future
"We must vote for hope, vote for life, vote for a brighter future for all of our loved ones.",Ed Markey,future
"In Iroquois society, leaders are encouraged to remember seven generations in the past and consider seven generations in the future when making decisions that affect the people.",Wilma Mankiller,future
"When my job was attempting to predict future economic developments for the Shell oil company, I was frequently reminded of an Arabic saying: 'Those who claim to foresee the future are lying, even if by chance they are later proved right.'",Vince Cable,future
I believe it is essential for our planetary future to develop tools that can change the consciousness which has created the crisis that we are in.,Stanislav Grof,future
"One of the most important things that I did to turn my life around was to realize and to accept that from this minute, that's all we have. Everything that happened behind us we cannot change so you might as well look to the future.",Nick Carter,future
I never have planned a whole lot of future. It's one day at a time.,Darrell Royal,future
The Arab World is writing a new future the pen is in our own hands.,Abdallah II,future
"Blade Runner appears regularly, two or three times a year in various shapes and forms of science fiction. It set the pace for what is essentially urban science fiction, urban future and it's why I've never re-visited that area because I feel I've done it.",Ridley Scott,future
No one is more important to the future of our state than our teachers.,Mike Huckabee,future
"Sometimes I make very selfish choices like I did 'Once Upon A Time' for my inner 8-year-old and my hypothetical future child. I've done some movies because I would regret them if I didn't, but other projects I've done because they've scared me or if I felt I needed to do a big romantic comedy to help me professionally.",Ginnifer Goodwin,future
"I had been feeling a little rum. I didn't think it was anything serious because years ago I felt a lump and it was benign. I assumed this would be too. It kind of takes the wind out of your sails, and I don't know what the future holds, if anything.",Maggie Smith,future
Since fame is an illusion and death is in our future all we have is the next moment before we are swallowed into oblivion.,Al Goldstein,future
"Therefore I am sure that this, my Coronation, is not the symbol of a power and a splendor that are gone but a declaration of our hopes for the future, and for the years I may, by God's Grace and Mercy, be given to reign and serve you as your Queen.",Queen Elizabeth II,future
"When you're poor, you know nothing about the future, you know nothing about the world, nothing that goes on outside 300 yards around you.",Lee Trevino,future
"President Obama's 100-day plan is pretty impressive. I think it's a Wow 100-plus days. The administration is not operating from fear, it is trying to drive change for the future, and that's a good thing.",Andrea Jung,future
"Like many other touchstones of twenty-first-century pop culture, 'The Sopranos' was hatched in the late Nineties, predicting a future that never arrived. It was designed for a decade that would be just like the Nineties, except more so, in an America that enjoyed seeing itself as smarter and braver and freer than ever before.",Rob Sheffield,future
Isn't it amazing the way the future succeeds in creating an appropriate past?,John Leonard,future
"If younger people see older people who haven't planned ahead and have to rely on charity, the young will be more likely to provide for the future. Today when someone plans poorly, the only consequence people see is a demand for more government.",Harry Browne,future
Hollywood films have become a cesspool of formula and it's up to us to try to change it... I feel like a preacher! But it's really true. I feel personally responsible for the future of American cinema. Me personally.,Alexander Payne,future
What I'm suggesting to you is that this could be a renaissance. We may be on the cusp of a future which could provide a tremendous leap forward for humanity.,Jeremy Rifkin,future
"The risk presented by these lethal wastes is like no other risk, and we should not be expected to accept it or to project it into the future in order for manufacturers and utilities to make a dollar killing now.",David R. Brower,future
"Though I was excited about the Sojourner Truth play, it was not reassuring to think that my entire future might depend on the success of that one show.",Ethel Waters,future
"Web 2.0 ideas have a chirpy, cheerful rhetoric to them, but I think they consistently express a profound pessimism about humans, human nature and the human future.",Jaron Lanier,future
"The euro is our common fate, and Europe is our common future.",Angela Merkel,future
"I don't know what the future holds, but I know that God holds tomorrow, so it is exciting. Even when I have hard things happen, He loves me so big, so much. I come through it and I grow from it, because He has got me.",Barbara Mandrell,future
So someday in the near future hopefully rather than having a foot or a leg amputated we'll just give you an injection of the cells and restore the blood flow. We've also created entire tubes of red blood cells from scratch in the laboratory. So there are a lot of exciting things in the pipeline.,Robert Lanza,future
"In fact when you combine stem cell technology with the technology known as tissue engineering you can actually grow up entire organs, so as you suggest that sometime in the future you get in an auto accident and lose your kidney, we'd simply take a few skin cells and grow you up a new kidney. In fact this has already been done.",Robert Lanza,future
I would say that there is no future for literary studies as such in the United States.,Harold Bloom,future
"I see Turkey's future as being in Europe, as one of many prosperous, tolerant, democratic countries.",Orhan Pamuk,future
"Kids feel so strongly about what's going on today and what's happening to the world, and that's very inspiring. I feel more hopeful than ever before about the future.",Carl Hiaasen,future
"Creation is all space, all time - all things past, present, and future.",Matthew Fox,future
"I was always someone who lived in the future all the time, it was always the next thing - dreams of escape.",Julie Walters,future
"I was cast in 'Thor' and I'm cast as a Nordic god. If you know anything about the Nords, they don't look like me but there you go. I think that's a sign of the times for the future. I think we will see multi-level casting. I think we will see that, and I think that's good.",Idris Elba,future
"If we want to deliver opportunity for all, we need an economy that delivers jobs for the future.",John Major,future
"We inadvertently bombed the Chinese Embassy. But Clinton now is working very hard. He has sent a letter of apology to the Chinese. And, he's also given them a gift certificate for future nuclear secrets.",David Letterman,future
"I am not interested in the past, except as the road to the future.",Gianni Versace,future
"The strange thing about Africa is how past, present and future come together in a kind of rough jazz, if you like.",Ben Okri,future
The subject of criminal rehabilitation was debated recently in City Hall. It's an appropriate place for this kind of discussion because the city has always employed so many ex-cons and future cons.,Mike Royko,future
"By concentrating on what is good in people, by appealing to their idealism and their sense of justice, and by asking them to put their faith in the future, socialists put themselves at a severe disadvantage.",Ian Mcewan,future
"If we wish our state's growth to continue, then our future will increasingly be with industries that require a highly skilled and technically proficient workforce.",Jay Weatherill,future
There is an opportunity for us to renew ourselves. There's an opportunity for us to leave the past behind and present something different for the future.,Jay Weatherill,future
"Through first-class education, a generation marches down the long uncertain road of the future with confidence.",Wynton Marsalis,future
"The truth is my idea has been to always stay at Barcelona and see out the rest of my career here. Like I always say, one doesn't know what can happen in the future, but if it were up to me to decide, I would stay at Barcelona for the rest of my career.",Lionel Messi,future
"Healthy children are born from healthy, respected, well-nourished and educated mothers and it is imperative that they have a voice in the decisions which affect them. If you empower a mother and let her have her say towards a poverty-free future, the positive impact this would have on ending hunger will be immense.",Dionne Warwick,future
"I'm not a prophet I can only use historical reality to come to a view of the future, and my view is that Africa will return to being African and not European. The advent of colonialism was foreign to the country itself, but it will return to what it was before the Europeans arrived.",Wilbur Smith,future
"The discussion in Washington has changed dramatically. I mean, it's no longer a question of should we address entitlements - it's no longer a question of do we need to reduce spending in the future.",Mark Zandi,future
"I shall go further and say that even if an examination of the past could lead to any valid prediction concerning man's future, that prediction would be the contrary of reassuring.",Julien Benda,future
"I couldn't wait to look at someone who shared my genes. I thought my baby was going to provide a decoder key to my past. But then I looked at Pippa and realized, no, she's actually the key to my future.",Emily Procter,future
"Every year, I am reminded of the kids who aren't in the freshman class and aren't graduating. I remember every single one of them. That is the worst of times for me, to see the future snuffed out.",Donna Shalala,future
"But for me, it is when a student has died. I find the death of a young person the most difficult and painful of times. To explain it to other young people, to see a bright future snuffed out, is just awful. I am haunted by those deaths.",Donna Shalala,future
"Future generations are not going to ask us what political party were you in. They are going to ask what did you do about it, when you knew the glaciers were melting.",Martin Sheen,future
I was offered a choice of a flat salary up front or a percentage of the film's future earnings. I took the up front money. Nobody could have figured what Halloween would ultimately become.,Donald Pleasence,future
You will attract the younger generation and they might well prove tougher than the older generation. What we are trying to do is to look at the future and see what we can do to bring some stability back to people's lives.,Ian Botham,future
"Instead of causing us to remember the past like the old monuments, the new monuments seem to cause us to forget the future.",Robert Smithson,future
"And as I grew older, I then auditioned for the Royal Academy of Music in London, and they said, well, no, we won't accept you, because we haven't a clue - you know - of the future of a so-called 'deaf' musician. And I just couldn't quite accept that.",Evelyn Glennie,future
"The ongoing conflict between us has caused heavy suffering to both peoples. The future can and must be different. Both our peoples are destined to live together side by side, on this small piece of land. This reality we cannot change.",Ariel Sharon,future
"But there's one thing we are not going to compromise at all: when it comes to security of Israeli citizens and the State of Israel, there are not going to be any compromises - not now and not in the future.",Ariel Sharon,future
My future is in my past and my past is my present. I must now make the present my future.,Vladimir Horowitz,future
"To the citizens of Israel, I say: we have passed difficult years, faced the most painful experiences and overcame them. The future lies before us. We are required to take difficult and controversial steps, but we must not miss the opportunity to try to achieve what we have wished for, for so many years: security, tranquillity and peace.",Ariel Sharon,future
"'Robopocalypse' explores the intertwined fates of regular people who face a future filled with murderous machines. It follows them as humanity foments the robot uprising, fails to recognize the coming storm, and then is rocked to the core by methodical, crippling attacks.",Daniel H. Wilson,future
"The poster boy for our superabled future is Oscar Pistorius, an increasingly famous South African sprinter who happens to have had both of his legs amputated below the knee. Using upside down question mark-shaped carbon fiber sprinting prosthetics, called Cheetah blades, Mr. Pistorius can challenge the fastest sprinters in the world.",Daniel H. Wilson,future
"For every minute, the future is becoming the past.",Thor Heyerdahl,future
"What appeals to me? There are things, points of view, uses of the language, habits of dress, ways of thought and believing that came to me from my grandparents and came to them from theirs. Things that are of good use in any situation, no matter what the future may hold.",Tommy Lee Jones,future
"Looking ahead, future generations may learn their social skills from robots in the first place. The cute yellow Keepon robot from Carnegie Mellon University has shown the ability to facilitate social interactions with autistic children. Morphy at the University of Washington happily teaches gestures to children by demonstration.",Daniel H. Wilson,future
"My idea in terms of managing a narrative, or in thinking in my creative life, is that you could easily argue that the past, the present and the future all occur simultaneously, and if you can postulate that, then you're not strictly bound to a linear narrative.",Tommy Lee Jones,future
"In the future, when Microsoft leaves a security-flaw in their code it won't mean that somebody hacks your computer. It will mean that somebody takes control of your servant robot and it stands in your bedroom doorway sharpening a knife and watching you sleep.",Daniel H. Wilson,future
"The future is hidden by a dark impenetrable veil, and yet we struggle to pierce through it.",Joseph Barber Lightfoot,future
Everything about my politics has been about the future.,David Miliband,future
I think in the future we need to look at our youth department to provide more players for the first team think it is important for a club to have a good amount of players that have roots with the club and region.,Arsene Wenger,future
"As long as I do a good job, I believe the future is going to take care of itself, but actually I like very much being in elected office and there is no consideration about doing anything different until I can be assured that we are going to have the best voting systems in the country.",Katherine Harris,future
"I have not made any plans for the future, and my wife would kill me if I announced anything before that.",Scott Walker,future
"I'd like now and into the future to play a bigger role not only in Wisconsin and the Midwest, but nationally. I'd like to have an impact.",Scott Walker,future
What makes America amazing is that there have always been men and women of courage who were willing to think more about the future of their children and grandchildren than they did about their own political careers.,Scott Walker,future
"Also, it is interesting that developing countries, with China and India perhaps in the lead, where the future of the global environment will be decided are now on board with the case for sustainable development.",Maurice Strong,future
"We owe at least this much to future generations, from whom we have borrowed a fragile planet called Earth.",Maurice Strong,future
"The future will be the child of the past and the present, even if a rebellious child.",George Crumb,future
"Of course I am political. You 'ave to be don't you? Every day it is about your future, your right to that future. 'Ow can people ignore this? We 'ave to leave a good world for our children, n'est-ce pas?",Emmanuelle Beart,future
If you really want something you just hang with it. We think our future's ahead and not behind.,Jerry Only,future
"The valid research for the future is on the inner side, on the spiritual side.",Peace Pilgrim,future
"By the time a person has achieved years adequate for choosing a direction, the die is cast and the moment has long since passed which determined the future.",Zelda Fitzgerald,future
"I don't want to be the one to break it to you, but the future ain't that funny.",Albert Brooks,future
"What's interesting about books that take place in the future, even twenty years in the future, is that many of them are black or white: It's either a utopia or it's misery. The real truth is that there's going to be both things in any future, just like there is now.",Albert Brooks,future
"The past is a source of knowledge, and the future is a source of hope. Love of the past implies faith in the future.",Stephen Ambrose,future
You need people who can walk their companies into the future rather than back them into the future.,Warren G. Bennis,future
"Life is hopefully long, so I don't know what the future will bring.",Bethenny Frankel,future
I'm scared of the unknown future.,Bethenny Frankel,future
"To design the future effectively, you must first let go of your past.",Charles J. Givens,future
"So foolish is the heart of man that he ever puts his hope in the future, learning nothing from his past errors and fancying that tomorrow must be better than today.",Mika Waltari,future
Two persons love in one another the future good which they aid one another to unfold.,Margaret Fuller,future
"You know, we'd just had a birthday, he was... you know, he still had a future out of him, and all I can is he was just one of the most beautiful people in the world... a very gifted man, and it's a loss to the world, not just for us.",Robin Gibb,future
I'd like to think a baseball picture is somewhere in my future.,Garth Brooks,future
"As long as our civilisation keeps trundling along generally forwards, then there is the possibility of a future where ethnicity is merely an interesting badge, not a uniform you can't take off.",David Mitchell,future
"We need to give the Iraqis a chance to build their own future. It should be in their hands. It must be in their hands. That is what democracy is all about. We can teach it, we can explain it, but they must want it enough to make it work for them.",Barbara Boxer,future
"Access to books and the encouragement of the habit of reading: these two things are the first and most necessary steps in education and librarians, teachers and parents all over the country know it. It is our children's right and it is also our best hope and their best hope for the future.",Michael Morpurgo,future
It is the child's understanding that teaches the adults the way of the future. They're still doing it today with modern technology.,Michael Morpurgo,future
"The German philosopher Walter Benjamin had the curious notion that we could change the past. For most of us, the past is fixed while the future is open.",Terry Eagleton,future
I wished to go completely outside and to make a symbolic start for my enterprise of regenerating the life of humankind within the body of society and to prepare a positive future in this context.,Joseph Beuys,future
I hope that seeing the excitement of solving this problem will make young mathematicians realize that there are lots and lots of other problems in mathematics which are going to be just as challenging in the future.,Andrew Wiles,future
I want to do very useful buildings and I would like to find a method of producing these buildings through our technology because I think that this is the only way that we will gain wonderful environment easily in the future.,Minoru Yamasaki,future
I have a lot of sympathy for young people because I realize how disturbed I was. How would I deal with life in the future? What would I do for a living?,Clyde Tombaugh,future
"If you can see the magic in a fairytale, you can face the future.",Danielle Steel,future
"An expectation is a future object, recognised as belonging to me.",Samuel Alexander,future
My past is my wisdom to use today... my future is my wisdom yet to experience. Be in the present because that is where life resides.,Gene Oliver,future
The future is keeping you out of the present time.,Van Morrison,future
I look forward to the future - and going into the studio to make new music.,Diana Ross,future
"As a child our dreams got scattered all about and all our future prospects got scattered to so many places, and we spend our lives trying to find the little pieces that make up our lives and make up the dreams that we had as a child that got blown away in the windstorm.",Terrence Howard,future
"In charting our course to the future, we are mindful of our path from the past.",Brad Henry,future
I shall soon be six-and-twenty. Is there anything in the future that can possibly console us for not being always twenty-five?,George Byron,future
"One of the functions of an organization, of any organism, is to anticipate the future, so that those relationships can persist over time.",Kevin Kelly,future
"The way that organizations and organisms anticipate the future is by taking signals from the past, most the time.",Kevin Kelly,future
This is actually a very important principle that science is learning about large systems like evolution and that futurists are learning about anticipating human society: just because a future scenario is plausible doesn't mean we can get there from here.,Kevin Kelly,future
"It seems like the studios are either making giant blockbusters, or really super-small indies. And the mid-level films I grew up on, like 'Back to the Future' and all those John Hughes movies, the studios aren't doing. It's hard to get them on their feet.",Chris Evans,future
"It is our job, as members of parliament, to legislate with an eye to the long term future, to look over the horizon beyond the next election and ensure that as far as we can what we do today will make Australia a better place, a safer place, for future generations to live in.",Malcolm Turnbull,future
"And that's the mission of The Innocence Project in New York, is to exonerate people who have been wrongfully convicted, and also work from a policy angle with Congress and state legislatures to prevent future wrongful convictions.",John Grisham,future
I'm not itching to sue Amazon or Wal-Mart... they sell a lot of books. But the future is very uncertain with books.,John Grisham,future
I hope that we can continue this cooperation on other critical issues related to America's future technological competitiveness. We must work together to encourage the creative talents that have made our country the world leader in technology.,Dan Lipinski,future
"Hydrogen holds great promise to meet many of our future energy needs, and it addresses national security and our environmental concerns. Hydrogen is the simplest, most abundant element in the universe.",Dan Lipinski,future
"And when these advances are made, hydrogen can fill critical energy needs beyond transportation. Hydrogen can also be used to heat and generate electricity for our homes. The future possibilities of this energy source are enormous.",Dan Lipinski,future
"For example, the Prime Minister earlier this year talked about the importance of the Arctic to our future. He's right. A hundred years from now, the strength of Canada is going to be coming from our resources in the Arctic.",Brian Mulroney,future
"The Web as I envisaged it, we have not seen it yet. The future is still so much bigger than the past.",Tim Berners-Lee,future
"Projecting a persuasive image of a desirable and practical future is extremely important to high morale, to dynamism, to consensus, and in general to help the wheels of society turn smoothly.",Herman Kahn,future
Look how many millions of people are underemployed or have lost their jobs. The last thing I'm going to do is play politics with their future.,Lindsey Graham,future
"No one's played on the moon yet. No one's played in zero gravity. Some bands have played at the Pyramids of Giza, but we'd very much like to do that in the near future.",Brandon Boyd,future
People's - most people's job is talking about the future or like money not even in the present tense. It's not even paper.,Colin Quinn,future
"China, in the future, is going to have even more nuclear capability than it has had in the past. I don't believe that they have anything to fear from the United States, and I frankly don't believe they do fear the United States.",Paul Wolfowitz,future
"If this is not done, future ages will certainly look back upon us as a people so immersed in the pursuit of wealth as to be blind to higher considerations.",Alfred Russel Wallace,future
I can't predict the future.,Paul Wolfowitz,future
"The Marshall Plan was after destruction, and the U.S. came to our help and obviously this was very, very important for the future of Europe. I think now we have all the capabilities of doing it on our own and, in a sense, we have to.",George Papandreou,future
"As much as we all talk about the future and how so many things are merging, there is a simplicity that is crucial.",Ryan Seacrest,future
"I deeply believe that if the Australian Labor Party, a party of which I have been a proud member for more than 30 years, is to have the best future for our nation, then it must change fundamentally its culture and to end the power of faceless men. Australia must be governed by the people, not by the factions.",Kevin Rudd,future
There comes a time in the history of nations when their peoples must become fully reconciled to their past if they are to go forward with confidence to embrace their future.,Kevin Rudd,future
"Because the time has come, well and truly come, for all peoples of our great country, for all citizens of our great commonwealth, for all Australians - those who are indigenous and those who are not - to come together to reconcile and together build a new future for our nation.",Kevin Rudd,future
"But Australia faces additional regional and global challenges also crucial to our nation's future - climate change, questions of energy and food security, the rise of China and the rise of India. And we need a strong system of global and regional relationships and institutions to underpin stability.",Kevin Rudd,future
The Australian Government's decision to take on the dominant funding role for the entire public hospital system is designed to: end the blame game eliminate waste and to shoulder the funding burden of the rapidly rising health costs of the future.,Kevin Rudd,future
"On Australia Day 2010, as we enter this second decade of the 21st century, Australians can be optimistic about our future, but we cannot afford to mistake optimism for complacency.",Kevin Rudd,future
"To be a member of the Labor Party is to be an optimist - optimistic about the future of Australia, optimistic about the ability of government to make a difference.",Kevin Rudd,future
The future belongs to crowds.,Don DeLillo,future
"That's where the future lies, in the youth of today.",Willie Stargell,future
"I really hope that we'll have a sustainable future on this planet, I really do. So I probably geek out mostly about learning more about how potentially we can hopefully make that happen, hopefully we're not too far lost.",Ellen Page,future
"It is, I claim, nonsense to say that it does not matter which individual man acted as the nucleus for the change. It is precisely this that makes history unpredictable into the future.",Gregory Bateson,future
"My duty as a teacher is to train, educate future programmers.",Niklaus Wirth,future
"Clearly, some creative thinking is badly needed if humans are to have a future beyond Earth. Returning to the Moon may be worthy and attainable, but it fails to capture the public's imagination. What does get people excited is the prospect of a mission to Mars.",Paul Davies,future
"Let us make future generations remember us as proud ancestors just as, today, we remember our forefathers.",Roh Moo-hyun,future
"Words matter, especially words defining complicated political arrangements, because they shape perceptions of the events of the past, attitudes toward policies being carried out in the present, and expectations about desirable directions for the future.",Michael Mandelbaum,future
"Every President that went to China, I would meet them and have dinner and talk about the past and the future. That was in the '70s.",Jet Li,future
"After all, the past is our only real guide to the future, and historical analogies are instruments for distilling and organizing the past and converting it to a map by which we can navigate.",Michael Mandelbaum,future
"People always want to pin yesterday's news on you, as opposed to asking you what you're going to do for the future, what you're doing today.",Corey Feldman,future
"If the right people do the right things, we can walk, we can have a future. But if people don't put time into it to make it run in a right way, I don't think your team will work.",Tim Hardaway,future
In every man the memory of the struggles and the heroes of the past is alive. But these memories are not incompatible with the desire for peace in the future.,Gustav Stresemann,future
"That future depends on the values of self-government, our sense of duty, loyalty, self-confidence and regard for the common good. We are a diverse country, and getting more diverse. And these virtues are what keep this great country together.",Jeff Miller,future
We need to think of the future and the planet we are going to leave to our children and their children.,Kofi Annan,future
"Although children are only 24 percent of the population, they're 100 percent of our future and we cannot afford to provide any child with a substandard education.",Ed Markey,future
"I have a mantra in my head that there will always be another meal. I can put my fork down, knowing there will be good things in my future!",Gail Simmons,future
"I've been watching more American TV because of all the great TV series that have come out in the last five to 10 years. I'm a 'Sopranos' fan, I'm a 'Wire' fan, I'm a 'Mad Men' fan. I'm a 'Deadwood' fan. It makes me optimistic for the future of storytelling on TV that producers are willing to take that kind of jump.",Jo Nesbo,future
Not even the brightest future can make up for the fact that no roads lead back to what came before - to the innocence of childhood or the first time we fell in love.,Jo Nesbo,future
Religion often partakes of the myth of progress that shields us from the terrors of an uncertain future.,Frank Herbert,future
I try not to worry about the future - so I take each day just one anxiety attack at a time.,Tom Wilson,future
The vast possibilities of our great future will become realities only if we make ourselves responsible for that future.,Gifford Pinchot,future
Such decisions will be far reaching and difficult. But you never lacked courage in the past. Your courage is now needed for the future.,Gerry Adams,future
"To a father, when a child dies, the future dies to a child when a parent dies, the past dies.",Red Auerbach,future
I can't predict the future.,Andrew Mason,future
"By encouraging conservation, increasing investments in clean, renewable sources of energy, and promoting increased domestic production of oil and gas, we can build a more secure future for our country.",Ron Lewis,future
"We believe that peace is not just signed papers, but rather a contract between generations for the building of a more promising and less threatening future.",King Hussein I,future
I look more to the future. That's where my head is at.,Flavor Flav,future
"To get nostalgic about other people's music, or even about your own, makes a terrible statement about the condition of your life and your prospects for the future.",Neil Peart,future
"My mission is a cosmic mission. My concern is for all of humanity, and not only this present world, but the world hereafter. My mission penetrates the past, present, and future, and encompasses all humanity.",Sun Myung Moon,future
"I'm already the most fortunate girl in the world, so I have zero expectations for what the future will bring.",Shailene Woodley,future
I'm just saying that at least for the foreseeable future there won't be any more touring.,Glenn Danzig,future
"We can choose between the future and the past, between reason and ignorance, between true compassion and mere ideology.",Ron Reagan,future
"The world is full of people whose notion of a satisfactory future is, in fact, a return to the idealised past.",Robertson Davies,future
I'm on a search for my future ex-wife.,Richie Sambora,future
"What were once only hopes for the future have now come to pass it is almost exactly 13 years since the overwhelming majority of people in Ireland and Northern Ireland voted in favour of the agreement signed on Good Friday 1998, paving the way for Northern Ireland to become the exciting and inspirational place that it is today.",Queen Elizabeth II,future
"The secret to being a writer is that you have to write. It's not enough to think about writing or to study literature or plan a future life as an author. You really have to lock yourself away, alone, and get to work.",Augusten Burroughs,future
"I don't know where I'm going to be in three years. Because I have the feeling that the future is so full of possibilities, to stop being an actress, to do something else... for me, the future is just a huge bunch of discoveries.",Audrey Tautou,future
"Ryan Leaf is doing great now. If he progresses the way he is now, we're going to have a quarterback that's going to be reckoned with in the near future. And that's not political.",Junior Seau,future
The goal of my Foundation is to give young people a chance to better themselves and establish a base for a successful future.,Junior Seau,future
One of the matters that must be addressed is that Rwanda and Uganda have to leave the Democratic Republic of the Congo. We're also supporting processes to ensure that the political dialogue among the Congolese themselves takes place so that the people there can decide their future.,Thabo Mbeki,future
Head Start's ability to improve the educational skills and opportunities of Latino children will be an important component of America's future success.,Joe Baca,future
"In the light of our culture, these are not unreasonable questions and tactics, but if once again, we try to see the lens through which we look, we can see that there is far too great an emphasis placed on the future.",Alan Dundes,future
"Whether things turn out for the better depends on what we do. We ought not spend our time masterminding the future, but recognize our marching orders: to do the best we can for history and the planet.",Huston Smith,future
